congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
110,h12,Agreed to,0.5205806814458893,111,h1,Passed
110,h1200,,0.5143028649933495,111,h1,Passed
110,h3070,,0.5146932736547053,111,h1,Passed
110,h3638,,0.5726727642434246,111,h1,Passed
110,h3671,,0.557644855005858,111,h1,Passed
110,h5727,,0.5260806446897,111,h1,Passed
110,h1732,,0.6076667702175601,111,h100,Passed
110,h1933,,0.6416884472387373,111,h1001,
110,h2161,,0.5720868663362798,111,h1001,
110,h3823,,0.5054968400042682,111,h1001,
110,h5869,,0.5087049987383909,111,h1001,
110,h3723,,0.6855869211440194,111,h1004,
110,h837,Passed,0.5133011132271427,111,h1004,
110,h2037,,0.6538390282765768,111,h1007,
110,h2378,,0.6506131301221314,111,h1007,
110,h2448,,0.6732428730497172,111,h1007,
110,h4099,,0.6566647023220921,111,h1007,
110,h4148,,0.7019676689949191,111,h1007,
110,h486,Passed,0.7208081288535176,111,h1007,
110,h1892,,0.624385915401694,111,h1008,
110,h5743,,0.6547300256404762,111,h1008,
110,h754,Failed,0.6196260779499813,111,h1008,
110,h357,Failed,0.9799994627109467,111,h1009,
110,h6627,,0.5157982655647415,111,h101,Passed
110,h4298,,0.5211194498473918,111,h1010,
110,h1833,,0.6483466780060744,111,h1011,
110,h5989,,0.6380313210710841,111,h1011,
110,h5996,,0.5959563587040192,111,h1011,
110,h751,Failed,0.6546971200625347,111,h1011,
110,h3731,,0.9821854860356047,111,h1014,
110,h265,Passed,0.7952962784591294,111,h1015,
110,h3732,,0.9938878838592263,111,h1015,
110,h329,Passed,0.9353448041865874,111,h1017,
110,h409,Passed,0.6439072947540385,111,h1017,
110,h306,Passed,0.5109649301185277,111,h1018,
110,h1804,,0.9790665984125544,111,h1019,
110,h3132,,0.7535930325878111,111,h102,Passed
110,h1873,,0.7355150743205813,111,h1020,
110,h6351,,0.556455181203326,111,h1020,
110,h1820,,0.8148399554178216,111,h1022,
110,h928,Passed,0.7569832428756335,111,h1022,
110,h10,Passed,0.5792998904363786,111,h1023,
110,h1155,Passed,0.5228302152655036,111,h1023,
110,h1734,,0.6110277524641049,111,h1023,
110,h182,Agreed to,0.5144045050405966,111,h1023,
110,h2680,,0.8373315978197534,111,h1023,
110,h3095,,0.5325278220687986,111,h1023,
110,h4116,,0.6406048773129132,111,h1023,
110,h4291,,0.5207856779281616,111,h1023,
110,h6315,,0.8352511081012278,111,h1023,
110,h6333,,0.5604812197295947,111,h1023,
110,h6452,,0.5060256519423377,111,h1023,
110,h6539,,0.5027841798887343,111,h1023,
110,h744,Passed,0.5027767113909258,111,h1023,
110,h779,Failed,0.6262995195848622,111,h1023,
110,h1537,,0.9759271998952715,111,h1024,
110,h1796,,0.8881249977614663,111,h1024,
110,h637,Passed,0.9493815056675807,111,h1026,
110,h1562,,0.7597092373469515,111,h1028,
110,h107,Passed,0.9864442247150436,111,h103,Passed
110,h108,Passed,0.5666452524556517,111,h103,Passed
110,h109,Passed,0.5666399334974439,111,h103,Passed
110,h5799,,0.5230917566767894,111,h103,Passed
110,h6632,,0.5237777545420864,111,h103,Passed
110,h1810,,0.9925394470187783,111,h1030,
110,h1200,,0.5393276763570233,111,h1031,
110,h2954,,0.5186268316926733,111,h1031,
110,h3526,,0.9148345406339006,111,h1032,
110,h1933,,0.5113527055068947,111,h1033,
110,h2878,,0.9510497928264858,111,h1033,
110,h3823,,0.5125809712079772,111,h1033,
110,h46,Failed,0.5732239198349904,111,h1033,
110,h5869,,0.5166616183481068,111,h1033,
110,h546,Passed,0.9876803161483785,111,h1034,
110,h6494,,0.7530142742131374,111,h1035,
110,h859,Passed,0.9392560368259619,111,h1038,
110,h6626,,0.5322963403729919,111,h1039,
110,h1603,,0.5197482031930863,111,h104,Passed
110,h182,Agreed to,0.8541086624817031,111,h104,Passed
110,h2015,,0.6552340076490184,111,h104,Passed
110,h2093,,0.544570932122441,111,h104,Passed
110,h2506,,0.6023992958803719,111,h104,Passed
110,h2623,,0.626645944074164,111,h104,Passed
110,h2680,,0.6014155840100203,111,h104,Passed
110,h294,Agreed to,0.5882878745033908,111,h104,Passed
110,h3095,,0.7991571839459725,111,h104,Passed
110,h3309,,0.5165632448297247,111,h104,Passed
110,h3493,,0.6895845189046707,111,h104,Passed
110,h3846,,0.5558109142715345,111,h104,Passed
110,h40,Passed,0.5179276555823337,111,h104,Passed
110,h4291,,0.7694697476736778,111,h104,Passed
110,h606,Passed,0.5379422468997538,111,h104,Passed
110,h623,Passed,0.6459129462897155,111,h104,Passed
110,h6263,,0.6992678362798563,111,h104,Passed
110,h6314,,0.5340787030670305,111,h104,Passed
110,h6315,,0.5999916383480339,111,h104,Passed
110,h6505,,0.5671565622648329,111,h104,Passed
110,h6539,,0.6319057956323779,111,h104,Passed
110,h6613,,0.5242302537551898,111,h104,Passed
110,h720,Failed,0.7047835041962769,111,h104,Passed
110,h744,Passed,0.7517262113953014,111,h104,Passed
110,h779,Failed,0.6215487631396791,111,h104,Passed
110,h1040,Passed,0.9951238039437001,111,h1040,
110,h3903,,0.5375179740689914,111,h1040,
110,h5333,,0.5093023308063388,111,h1040,
110,h1877,,0.5919556875690067,111,h1042,
110,h388,Passed,0.5471535997852586,111,h1042,
110,h513,Passed,0.5864723534404713,111,h1042,
110,h1237,,0.503407132307639,111,h1043,
110,h345,Passed,0.9452750162682816,111,h1045,
110,h1939,,0.5615059076083814,111,h1046,
110,h2715,,0.5355132145125859,111,h1046,
110,h1209,,0.5876265371843227,111,h1048,
110,h284,Passed,0.5220759529440019,111,h1048,
110,h287,Passed,0.5445228063040627,111,h1048,
110,h4145,,0.5003154141174223,111,h1048,
110,h762,Passed,0.5853103905960299,111,h1048,
110,h107,Passed,0.6228276131591095,111,h105,Passed
110,h108,Passed,0.9700079531579976,111,h105,Passed
110,h109,Passed,0.9700086525623429,111,h105,Passed
110,h2540,,0.5387983559966739,111,h105,Passed
110,h3163,,0.6705776448719478,111,h105,Passed
110,h3317,,0.5833209872117928,111,h105,Passed
110,h5799,,0.8533393064937453,111,h105,Passed
110,h5816,,0.6277094276509962,111,h105,Passed
110,h5828,,0.6024956671764272,111,h105,Passed
110,h6591,,0.5316821269641736,111,h105,Passed
110,h6632,,0.7337465353587049,111,h105,Passed
110,h6623,,0.9944717826369509,111,h1050,
110,h1649,,0.5190131659745242,111,h1053,
110,h1650,,0.762373285259527,111,h1053,
110,h1651,,0.5592647394395702,111,h1053,
110,h1652,,0.6960806905750107,111,h1053,
110,h258,Failed,0.993350678848202,111,h1053,
110,h4153,,0.7021142179401879,111,h1053,
110,h4337,,0.6478163603090669,111,h1053,
110,h6068,,0.6609965664851701,111,h1053,
110,h39,Failed,0.56303332976161,111,h1054,
110,h990,Passed,0.8464574413035649,111,h1054,
110,h991,Passed,0.9750042145365101,111,h1054,
110,h990,Passed,0.9294442366527876,111,h1055,
110,h991,Passed,0.8531221738233881,111,h1055,
110,h446,Passed,0.9984388888727738,111,h1056,
110,h1944,,0.9609769772789932,111,h1058,
110,h57,Passed,0.6220063164003863,111,h1059,
110,h6542,,0.5445873104073226,111,h1059,
110,h2624,,0.5882070826722551,111,h106,Passed
110,h6522,,0.6982019982194672,111,h106,Passed
110,h953,Passed,0.6648983466397453,111,h106,Passed
110,h1162,Passed,0.5118130288044861,111,h1061,
110,h3815,,0.5372627461350263,111,h1061,
110,h5992,,0.5054814644863421,111,h1061,
110,h1820,,0.552648529644959,111,h1064,
110,h2721,,0.9390550349638375,111,h1064,
110,h3301,,0.6071131467872393,111,h1065,
110,h2337,,0.619386011053001,111,h1066,
110,h2699,,0.8064555211710183,111,h1066,
110,h854,Passed,0.6731997515127619,111,h1066,
110,h1001,Failed,0.9880569093142253,111,h1067,
110,h239,Passed,0.8107352692545455,111,h1067,
110,h388,Passed,0.6098729952842951,111,h1069,
110,h1118,Passed,0.5005489136743406,111,h107,Passed
110,h1146,Passed,0.5165467844489726,111,h1072,
110,h1877,,0.7073874261537986,111,h1073,
110,h388,Passed,0.653104455711774,111,h1073,
110,h513,Passed,0.50902141476847,111,h1073,
110,h58,Failed,0.8555230777372018,111,h1074,
110,h1981,,0.5268049445962903,111,h1076,
110,h941,Passed,0.9693973240264263,111,h1077,
110,h4007,,0.9261537684564349,111,h1078,
110,h2505,,0.987266262898974,111,h1079,
110,h1178,Passed,0.9759577998663373,111,h108,Passed
110,h2148,,0.968884229958563,111,h108,Passed
110,h6488,,0.6244463728951807,111,h108,Passed
110,h4100,,0.9380444172259751,111,h1080,
110,h474,Passed,0.8078387766838848,111,h1082,
110,h1439,,0.9417696104638751,111,h1083,
110,h2205,,0.8711319653944417,111,h1086,
110,h2363,,0.582615094513298,111,h1086,
110,h3239,,0.6910717249326046,111,h1086,
110,h5,Agreed to,0.9510354944740628,111,h1086,
110,h6043,,0.6650336575816838,111,h1086,
110,h6389,,0.8472596073715513,111,h1086,
110,h6684,,0.7250072205194125,111,h1086,
110,h6688,,0.6440628121360226,111,h1086,
110,h896,Passed,0.568740559372867,111,h1086,
110,h1854,,0.5046173551731894,111,h1088,
110,h4072,,0.6622852912282421,111,h1088,
110,h105,Failed,0.5734318662209824,111,h109,Passed
110,h299,Passed,0.5270917780116563,111,h109,Passed
110,h3000,,0.5756424048219569,111,h109,Passed
110,h346,Passed,0.531376247565179,111,h109,Passed
110,h364,Failed,0.5964943116306332,111,h109,Passed
110,h3682,,0.5750451961784551,111,h109,Passed
110,h371,Passed,0.5374075415518815,111,h109,Passed
110,h397,Failed,0.5436974608137795,111,h109,Passed
110,h4224,,0.5209336825577918,111,h109,Passed
110,h4242,,0.542456385185971,111,h109,Passed
110,h637,Passed,0.5794731291870389,111,h1091,
110,h105,Failed,0.6193130647090941,111,h1092,
110,h299,Passed,0.5542564989809987,111,h1092,
110,h3000,,0.6169236273160027,111,h1092,
110,h346,Passed,0.5773336500092238,111,h1092,
110,h364,Failed,0.6171740207066556,111,h1092,
110,h3682,,0.5809327607692907,111,h1092,
110,h371,Passed,0.5778990387088461,111,h1092,
110,h397,Failed,0.5540515867932267,111,h1092,
110,h4224,,0.5726275845092772,111,h1092,
110,h4242,,0.7247388912490138,111,h1092,
110,h2468,,0.8858806832555622,111,h1094,
110,h2164,,0.8377423466343717,111,h1096,
110,h2885,,0.7433605447678202,111,h1096,
110,h483,Failed,0.9971834655774376,111,h1096,
110,h98,Passed,0.5291523146570714,111,h1096,
110,h1105,Passed,0.5326774495074015,111,h1097,
110,h1493,,0.5429626146004045,111,h11,Failed
110,h1519,,0.792765572588672,111,h11,Failed
110,h6623,,0.9960763722236912,111,h110,Passed
110,h1054,Agreed to,0.5614250419826489,111,h1101,
110,h864,Passed,0.900841099376257,111,h1102,
110,h1166,Passed,0.8701696187118217,111,h1103,
110,h1,Passed,0.5841320192686709,111,h1105,
110,h1363,,0.561084059155628,111,h1105,
110,h1473,,0.6114948048795664,111,h1105,
110,h2017,,0.6331222025687431,111,h1105,
